firstname;gender
Catarina;w
Caterina;w
Catharina;w
Catherina;w
Catherine;w
Cathérine;w
Cathleen;w
Cathrin;w
Cathrina;w
Cathrine;w
Cathy;w
Catia;w
Catrin;w
Cay;m
Cayo;m
Cecil;m
Cecile;w
Cecilia;w
Cecilie;w
Cecilio;m
Cecilius;m
Cecily;w
Cedric;m
Cédric;m
Cedrik;m
Celeste;m
Celéste;w
Céleste;m
Celestina;w
Celestino;m
Celia;w
Celina;w
Céline;w
Celio;m
Cellina;w
Cem;m
Cesar;m
César;m
Cesare;m
Cesira;w
Chad;m
Chantal;w
Charitas;w
Charity;w
Charla;w
Charleen;w
Charlene;w
Charles;m
Charlie;m
Charline;w
Charlott;w
Charlotta;w
Charlotte;w
Charlton;m
Charly;m
Chase;m
Chelsea;w
Cher;w
Cheri;w
Cherie;w
Cheryl;w
Chester;m
Cheyenne;w
Chiara;w
Chloe;w
Chloé;w
Chlöe;w
Chris;m
Christa;w
Christel;w
Christelle;w
Christian;m
Christiana;w
Christiane;w
Christin;w
Christina;w
Christine;w
Christóbal;m
Christof;m
Christofer;m
Christoff;m
Christoffer;m
Christoph;m
Christophe;m
Christopher;m
Christy;w
Cian;m
Ciara;w
Ciarán;m
Cillian;m
Cinderella;w
Cindy;w
Cinja;w
Cinzia;w
Ciriaco;m
Ciro;m
Claas;m
Claire;w
Clara;w
Clare;w
Clarence;m
Clarice;w
Clarina;w
Clarina;w
Clarinda;w
Clarinde;w
Clarissa;w
Clark;m
Claude;w
Claude;m
Claudette;w
Claudia;w
Claudina;w
Claudine;w
Claudio;m
Claudius;m
Claus;m
Clayton;m
Clea;w
Clelia;w
Clemence;w
Clémence;w
Clemens;m
Clement;m
Clément;m
Clemente;m
Clementina;w
Clementine;w
Cleo;w
Cleopatra;w
Cleve;m
Cliff;m
Cliff;m
Clifford;m
Clifton;m
Clint;m
Clinton;m
Clive;m
Cloe;w
Clothilde;w
Clotilda;w
Clotilde;w
Clyde;m
Cody;m
Coelestina;w
Coinneach;m
Cole;m
Cölestin;m
Cölestine;w
Cölestinus;m
Coletta;w
Colin;m
Coline;w
Colleen;w
Colombe;w
Colombina;w
Colombine;w
Conan;m
Concetta;w
Connie;w
Connie;w
Connor;m
Conny;w
Conor;m
Conrad;m
Conradin;m
Conrado;m
Conradus;m
Constance;w
Constantin;m
Constantine;m
Constanza;w
Constanze;w
Cora;w
Coral;w
Coralie;w
Coraline;w
Corbin;m
Corbinian;m
Cordula;w
Corentin;m
Corentine;w
Corey;m
Corin;m
Corina;w
Corinna;w
Corinne;w
Corneille;m
Cornel;m
Cornela;w
Cornelia;w
Cornélie;w
Cornelio;m
Cornelis;m
Cornelius;m
Corona;w
Corrado;m
Corsin;m
Corvin;m
Cory;m
Cosima;w
Cosimo;m
Cosmo;m
Costanta;w
Costante;m
Costantino;m
Costanzo;m
Courtney;w
Courtney;m
Craig;m
Cressida;w
Cristian;m
Cristiana;w
Cristiano;m
